Timestamp,Noise (dB),Light (lux),Temperature (C)
2021-01-01 02:49:51,53.79,1.9,25.54
2021-01-01 02:50:11,52.14,1.96,25.52
2021-01-01 02:50:31,54.28,1.96,25.52
2021-01-01 02:50:52,55.08,1.96,25.51
2021-01-01 02:51:12,53.51,1.9,25.52
2021-01-01 02:51:32,54.08,1.9,25.52
2021-01-01 02:51:53,54.44,1.9,25.52
2021-01-01 02:52:13,54.64,1.84,25.52
2021-01-01 02:52:33,53.83,1.84,25.51
2021-01-01 02:52:54,55.65,1.84,25.5
2021-01-01 02:53:14,55.12,1.9,25.48
2021-01-01 02:53:34,54.44,1.9,25.48
2021-01-01 02:53:54,54.32,1.9,25.47
2021-01-01 02:54:15,53.87,1.9,25.47
2021-01-01 02:54:35,55.89,1.9,25.44
2021-01-01 02:54:55,51.14,1.9,25.46
2021-01-01 02:55:16,54.28,1.9,25.45
2021-01-01 02:55:36,54.32,1.9,25.45
2021-01-01 02:55:56,54.08,1.96,25.45
2021-01-01 02:56:17,54.08,1.9,25.45
2021-01-01 02:56:37,54.0,1.9,25.44
2021-01-01 02:56:57,57.7,1.9,25.44
2021-01-01 02:57:18,54.52,1.9,25.44
2021-01-01 02:57:38,54.52,1.9,25.44
2021-01-01 02:57:58,54.2,1.9,25.43
2021-01-01 02:58:18,52.83,1.9,25.44
2021-01-01 02:58:39,54.36,1.9,25.43
2021-01-01 02:58:59,54.16,1.9,25.41
2021-01-01 02:59:19,53.75,1.9,25.44
2021-01-01 02:59:39,54.16,1.9,25.44
2021-01-01 03:00:00,55.08,1.9,25.45
2021-01-01 03:00:20,54.36,1.9,25.46
2021-01-01 03:00:40,52.83,1.9,25.46
2021-01-01 03:01:01,56.01,1.9,25.46
2021-01-01 03:01:21,54.12,1.9,25.46
2021-01-01 03:01:41,53.27,1.9,25.48
2021-01-01 03:02:01,53.31,1.9,25.48
2021-01-01 03:02:22,53.55,1.9,25.48
2021-01-01 03:02:42,54.36,1.9,25.49
2021-01-01 03:03:02,55.24,1.96,25.52
2021-01-01 03:03:22,53.35,1.9,25.51
2021-01-01 03:03:43,54.4,1.96,25.52
2021-01-01 03:04:03,53.91,1.96,25.52
2021-01-01 03:04:23,52.67,1.96,25.53
